NO,JUDUL,NOMOR KATALOG,NOMOR KLASIFIKASI,ISBN/ISSN,NOMOR PANGGIL SETEMPAT,BAHASA,PENGARANG,PENERJEMAH,EDITOR,SERI,EDISI,NEGARA,PROVINSI,KOTA,PENERBIT,TAHUN,SUBJEK,NAMA PERTEMUAN,TEMPAT PERTEMUAN,TANGGAL PERTEMUAN,HARGA,JENIS
3408,Pengetahuan Dasar Manajemen dan Kepemimpinan,7173312124,370,-,370 Sus P,Indonesia,"Susilo Martoyo, S.E.",,,,1,Indonesia,DI Yogyakarta,Yogyakarta,BPFE-Yogyakarta,1988,Education,Surat Permohonan Buku & Koleksi,,26 Oktober 2022,0,Buku Belajar
3409,Penggunaan Dasar-Dasar Perancangan Pembangunan Gedung Tahan Gempa  ,7749312124,690,,690 Sum P,Indonesia,Dra. Rita Fadila Sumantri ,,,,,Indonesia,DKI Jakarta,Jakarta,DIREKTORAT JENDRAL PENDIDIKAN TINGGI PROYEK PENGEMBANGAN LEMBAGA PENDIDIKAN TENAGA KEPENDIDIKAN ,1989,"Construction of Buildings, Planning, Analysis, Enginering, Desain, Construction, Destruction ",Surat Permohonan Buku dan Koleksi,Surat Permohonan Buku dan Koleksi,22-Sep-22,0,Buku Belajar
3410,Penghancuran Buku dari Masa ke Masa,8409333125,899.2218,978-979-1260-68-8,899.2218 Bae P,Indonesia,Fernando Baez,,,,,Indonesia,Banten,Tangerang Selatan,Marjin Kiri,2021,Indonesian Miscellaneous Writings,Surat Permohonan Buku dan Koleksi,,26 Oktober 2022,0,Buku Baca
3411,Penginderaan Jauh Terapan,7089333124,621.3823,978-602-449-179-6,621.3823 Lar P,Indonesia,Dian Ayu Larasati,,,,,Indonesia,Jawa Timur,Surabaya,Unesa University Press,2019,Miscellaneous Topics of Comunications Engineering,Surat Permohonan Buku & Koleksi,,22-Sep-22,0,Buku Baca
3412,Pengkajian Kesenian Tarian Kataga Di Kabupaten Sumba Barat Provinsi Nusa Tenggara Barat ,9117333122,700.72,978-602-356-274-9,700.72/San/P,Indonesia,Dwi Bambang Santosa,,Winengku Nugroho,,1,Indonesia,Bali,Badung,Kepel Press,2019,,Surat Permohonan buku dan koleksi,,26 Oktober 2022,0,Buku Baca
3413,Pengkajian Puisi,7142312124,899.2211,979-420-059-X,899.2211 Rac P,Indonesia,Rachmat Djoko Pradopo,,,,,Indonesia,DI Yogyakarta,Yogyakarta,Gadjah Mada University Press,2005,Indonesian Poetry,Surat Permohonan Buku & Koleksi,,22-Sep-22,0,Buku Belajar
3414,pengolahan air limbah domestik institusi menggunakan filtrasi single dan dual media,7288315124,363.7,978-602-0856-57-5,363.7 Jul P,Indonesia,"naniek ratni juliardi, A.R.",,,1,1,Indonesia,Jawa Timur,Surabaya,"UPN ""Veteran"" Jawa Timur",2016,,,,26-Sep-22,0,Buku Ajar / Buku Ilmiah
3415,Pengolahan Citra Digital: Teori dan Aplikasinya,6933312124,740,978-602-6232-42-7,740 Hid P,Indonesia,Priyanto Hidayatullah,,,,,Indonesia,Jawa Barat,Bandung,INFORMATIKA,2017,Graphics Arts & Decorative Arts,Surat Permohonan Buku & Koleksi,,26 Oktober 2022,0,Buku Belajar
3416,"Penguasaan Aset dan Permasalahan Akses Pada Masyarakat Nelayan di Desa Ujung Pandaran, Kab. Kotawaringin, Kalimantan Tengah",7776333124,339.491,978-623-7526-27-8,339.491 Wul P,Indonesia,Benedikta Juliatri Widi Wulandari,,Izzudin Irsam Mujib & Asep Ruhimat,,,Indonesia,Jawa Barat,Bandung,CV. Media Jaya Abadi,,Conservation of Economic Resources in Spesific Areas,Surat Permohonan Buku dan Koleksi,,14-Nov-22,0,Buku Baca
3417,Penguatan Organisasi: Teori dan Empiris,5137312124,658.1,978-623-01-2795-3,658.1 Fau P,Indonesia,"Dr. Fauzi, S.E., M.Kom., M.E., Akt., CA., CMA.",,Lidya MayasarI,,1,Indonesia,DI Yogyakarta,Yogyakarta,Andi,2022,Organizations,Surat Permohonan Buku & Koleksi,,26 Oktober 2022,0,Buku Belajar
3418,Pengukuran & Evaluasi di Perguruan Tinggi,8303333124,378,1-85000-576-1,378 Jur P,Indonesia,Thomas E Jordan,Drs. Yan Mujiyanto,,,,Inggris,East Sussex,Lewes,The Falmer Press,1989,Higher Education,Surat Permohonan Buku dan Koleksi,,22-Sep-22,0,Buku Baca
3419,Pengukuran Kinerja: Model-Model Populer dan Implementasi Sederhananya ,4669333123,658.306,978-623-7889-49-6,658.306 Lek P,Indonesia,"Dr. Eko Budi Leksono, S.T., M.T.",,,,1,Indonesia,Jawa Timur,Sidoarjo,Indomedia Pustaka,2020,Job Analysis ,Surat Permohonan Buku & Koleksi,,26 Oktober 2022,0,Buku Baca
3420,PENILAIAAN SIKAP SPIRITUAL & SIKAP SOSIALPEMBELAJARAN PAI DAN BUDI PEKERTI,9621342124,370.144,978-602-313-420-5,370.144 ZUR P,Indonesia,"Dr. Zurqoni, M.Ag",,Sri Susmiyati M.Pd.I,,,Indonesia,DI Yogyakarta,Yogyakarta,Ar-Ruzz Media,2019,Ethical Education,Surat Permohonan Buku dan Koleksi,,26 Oktober 2022,0,Pendidikan
3421,"Penilaian Autentik: Konsep, Prinsip, dan Aplikasinya",8061333124,371.272,978-979-076-736-2,371.272 Rus P,Indonesia,"Dr. H. A. Rusdiana, M.M.",,,,,Indonesia,Jawa Barat,Bandung,PUSTAKA SETIA,2018,Marking Systems,Surat Permohonan Buku dan Koleksi,,26 Oktober 2022,0,Buku Baca
3422,Peninggalan Arkeologi di Pereng Wukir Susundara-Sumving ,9571333122,300.72,978-602-60590-2-4,300.72 PEL P,Indonesia,,,,,,Indonesia,Jawa Tengah,,Kementrian Pendidikan dan Kebudayaan,,Social Science,Surat permohonan buku & koleksi,,21 Februari 2026,0,Buku Baca
3423,Pension Ready: Menuju Kemerdekaan Finansial Sebelum 50 Tahun,9753333124,650.12,978-602-06-6427-9,650.12 Gho P,Indonesia,Prita Hapsari Ghozie,,,,,Indonesia,DKI Jakarta,Jakarta,PT Gramedia Pustaka Utama,2022,Financial Success,Surat Permohonan Buku & Koleksi,,26 Oktober 2022,0,Buku Baca
3424,"Penti Weki Peso Beo Reca Rangga Walin Tahun di Kab. Manggarai, Nusa Tenggara Timur",9063318124,306.4,978-602-258-114-1,306.4 Sud P,Indonesia,I Wayan Sudharma,,,,,Indonesia,Bali,Denpasar,Balai Pelestarian Nilai Budaya Bali,2013,Spesific Aspect of Culture,Surat Permohonan Buku dan Koleksi,,28-Nov-22,0,Budaya
3425,Penulisan Buku Ajar yang Baik dan Produktif: Berbagi Pengalaman Menulis Buku Selama 40 Tahun,9723333124,370.7,978-623-01-1801-2,370.7 HAR P,Indonesia,"Jogiyanto Hartono, rof., Ph.D., M.B.A., CA.",,"Jogiyanto Hartono, rof., Ph.D., M.B.A., CA.",,,Indonesia,DI Yogyakarta,Yogyakarta,ANDI OFFSET YOGYAKARTA,2021,,Surat permohonan buku & koleksi,,10 Maret 2026,0,Buku Baca
3426,Penulisan Naskah Kehumasan,4699312123,302.2,9786233,302.2 Saf P,Indonesia,Dini Safitri,,,,,Indonesia,DKI Jakarta,Jakarta,KENCANA,2022,Communication,Surat Permohonan Buku Dan Koleksi,,26 Oktober 2022,0,Buku Belajar
3427,Penulisan Sejarah: PEMIKIR KEBUDAYAAN,8474329125,300.9,978-979-95807-1-9,300.9 Tan p,Indonesia,Dr. Yudha B. Tangkilisan,,Dr. M. Iskandar,,1,Indonesia,,,Direktorat Jenderal Sejarah & Purbakala,2010,,Surat Permohonan Buku & Koleksi,,28-Nov-22,0,Sejarah
3428,Penuntun Praktis Belajar Database Menggunakan Microsoft Access,94312122,5.1,979-731-377-7,005.1 Kad P,Indonesia,Abdul Kadir,,,,2,Indonesia,DI Yogyakarta,Yogyakarta,Andi,2004,Pemrograman,Surat Permohonan Buku & Koleksi ,,22 Agustus 2022,0,Buku Belajar
3429,PENUTUR TRADISI LISAN KAYAAN MENDALAM: Mereka yang Berjuang Melintasi Zaman ,8791318124,302.2,978-623-7526-55-1,302.2 Pra P,Indonesia,Septi Dhanik Prastiwi ,,Izzudin Irsam  Mujib ,,,Indonesia,Jawa Barat,Bandung,CV Media Jaya Abadi,2022,Verbal Communication,,,26 Oktober 2022,0,Budaya
3430,Penyakit Infeksi di Indonesia dan Solusi Kini Mendatang,2357315122,616.9,978-602-8967-28-0,616.9 Nas P,Indonesia,Nasronudin,,Nasronudin dkk,,2,Indonesia,Jawa Timur,Surabaya,Airlangga University Press,2011,Infections and Other Diseases,Surat Permohonan Buku dan Koleksi,,22 Agustus 2022,0,Buku Ajar / Buku Ilmiah
3431,Penyakit Jantung dan Kehamilan,2493333122,618.32,978-979-1330-04-6,618.32 Pen ,Indonesia,,,Iwan N. Boestan,,,Indonesia,Jawa Timur,Surabaya,Airlangga University Press,2007,"Fetal Disorders, Perinatology",Surat Permohonan Buku dan Koleksi,,22 Agustus 2022,0,Buku Baca
3432,Penyakit Pascapanen,6175331124,632.3,978-623-7267-39-3,632.3 Soe P,Indonesia,"Prof. Ir. Loekas Soesanto, M.S., Ph. D.",,L. Mayasari,,,Indonesia,DI Yogyakarta,Yogyakarta,LILY PUBLISHER,2019,Plant Diseases,,,,0,Pengetahuan Umum
3433,Penyedian Lahan Untuk Produksi Berkelanjutan Di Jawa Timur,109136122,333.76,978-602-0856-60-5,333.76 Abi p,Indonesia,Zainal Abidin,,,,,Indonesia,Jawa Timur,Surabaya,"UPN ""Veteran"" Jawa Timur",2014,Agricultures Lands,Surat Permohonan Buku & Koleksi ,,22 Agustus 2022,0,Karya Ilmiah
3434,Penyelesaian Sengketa Lingkungan (Environmental Disputes Resolution),1256312122,344.04,979-8990-40-4,344.04 Wij P,Indonesia,Suparto Wijoyo,,,,,Indonesia,Jawa Timur,Surabaya,Airlangga University Press,2012,Public Health Law,Surat Permohonan Buku dan Koleksi,,22 Agustus 2022,0,Buku Belajar
3435,Penyihir Hebat dari Oz,5114333124,813,978-623-75432-7-5,813 Bau P,Indonesia,L. Frank Baum,Dina Begum,,,1,Indonesia,DI Yogyakarta,Yogyakarta,Kakatua,2021,Indonesian Fiction,Surat Permohonan Buku & Koleksi,,26 Oktober 2022,0,Buku Baca
3436,Penyutradaraan Film,5889342124,791.4302331,978-602-61985-1-8,791.430233092 Wib P,Indonesia,Panji Wibowo,,,,,Indonesia,DKI Jakarta,Jakarta Pusat,Kementerian Pendidikan dan Kebudayaan Pusat Pengembangan Perfilman,2019,Directors,Surat Permohonan Buku dan Koleksi,,26 Oktober 2022,0,Pendidikan
3437,PERALIHAN HAK ATAS TANAH DAN PENDAFTARANYA,8109324124,346.044,978-979-007-023-3,346.044 Sut P,Indonesia,"Adrian Sutedi, S.H., M.H.",,,,,Indonesia,DKI Jakarta,Jakarta,SINAR GRAFIKA,2007,Goverment ,Surat permohonan pertemuan koleksi & buku,,26 Oktober 2022,0,Panduan (How To)
3438,Peramalan Bisnis,9386332126,651.5,,651.5 Lin P,Indonesia,,,,5,1,,,,Fakultas Ekonomi UGM,2001,Records Management,Surat Permohonan buku dan koleksi,,26 Oktober 2022,0,Ekonomi
3439,Peranan Gedung Kramat Raya 106 dalam Melahirkan Sumpah Pemuda,8654329124,959.80223,-,959.80223 Sof P,Indonesia,Drs. Mardanas Sofwan,,,,,Indonesia,DKI Jakarta,Jakarta,Direktorat Sejarah Direktorat Jenderal Kebudayaan Kementerian Pendidikan dan Kebudayaan ,2019,Sejarah Indonesia 1811-1942,Surat Permohonan Buku dan Koleksi,,,0,Sejarah
3440,Peranan Gedung Kramat Raya 106 Dalam Melahirkan Sumpah Pemuda,8286316124,907.2,-,907.2 Sof P,Indonesia,Drs. Mardanas Sofwan,,,,,Indonesia,DKI Jakarta,Jakarta,Direktorat Sejarah Direktorat Jenderal Kebudayaan Kementerian Pendidikan dan Kebudayaan ,2019,Research of History,Surat Permohonan Buku dan Koleksi,,28-Nov-22,0,Dokumentasi
3441,Peranan Interpol dalam Pemberantasan Kejahatan Transnasional dan Internasional,4754333123,363.206 01,978-623-384-210-5,363.206 01 Dia P,Indonesia,"Prof. Dr. I. Made Pasek Diantha, S.H., M.S.",,,,,Indonesia,DKI Jakarta,Jakarta,PRENADAMEDIA GROUP,2022,Interpol,Surat Permohonan Buku & Koleksi,,26 Oktober 2022,0,Buku Baca
3442,Peranan Kebudayaan Tradisional Indonesia dalam Modernisasi,8513318124,306.09598,,306.09598 Dov P,Indonesia,Michael R. Dove,,Michael R. Dove,1,,Indonesia,DI Yogyakarta,Yogyakarta,Yayasan Obor Indonesia,1985,Culture of Indonesia,Surat Permohonan Buku & Koleksi,,26 Oktober 2022,0,Budaya
3443,PERANAN KOMUNIKASI MASSA DALAM PEMBANGUNAN SUATU KUMPULAN KARANGAN,9443345124,621.3821 Dep P,,621.3821,Indonesia,,,"Drs. Eduard Depari, Dr. Colin MacAndrews",,,Indonesia,DI Yogyakarta,Sleman,Gajah Mada University Press,1982,Communication Networks,,,26 Oktober 2022,0,Komunikasi
3444,PERANAN MEDIA AUDIO VISUAL DALAM PENDIDIKAN,7880312124,371.335,,371.335 Rin P,Indonesia,Andre rinanto,,,,,Indonesia,DKI Jakarta,Jakarta,PT Kanisius,1982,Audiovisual material equipment,Surat Permohonan Buku dan Koleksi,,26 Oktober 2022,0,Buku Belajar
3445,Perancangan dan Implementasi Komponen Visual Pada Delphi,7789312124,5.118,979-3289-90-2,005.118 Sus P,Indonesia,Djoko Susilo,,,,1,Indonesia,DI Yogyakarta,Yogyakarta,Graha Ilmu,2004,Visual Programming,Surat Permohonan Buku dan Koleksi,,22-Sep-22,0,Buku Belajar
3446,Perancangan Embedded System Berbasis EPGA ,62312122,1.642,978-979-756-967-9,001.642 Abd p,Indonesia,Maman Abdurohman,,,,1,Indonesia,DI Yogyakarta,Yogyakarta,Graha Ilmu,2013,Pemrograman,Surat Permohonan Buku dan Koleksi,,26-Sep-22,0,Buku Belajar
3447,Perang BUBAT (1279 SAKA): Membongkar Fakta Kerajaan Sunda vs Kerajaan Majapahit,4063329122,959.801,978-623-7537-19-9,959.801 Ach P,Indonesia,Sri Wintala Achmad,,Adi Putra Pati,,,Indonesia,DI Yogyakarta,Yogyakarta,Araska,2019,Early History of Indonesia to 1602,Surat Permohonan Buku dan Koleksi,,22 Agustus 2022,0,Sejarah
3448,Perangkap Kekayaan Alam Negara: Pengelolaan Penerimaan dan Kekayaan Negara Indonesia di Masa Depan,4799332124,339.2,978-623-321-065-2,339.2 Sat P,Indonesia,Venti Eka Setya,,Muhammad Zilal Hamzah,,,Indonesia,DKI Jakarta,Jakarta,Yayasan Obor Indonesia,2020,Distribution of Income & Wealth,Surat Permohonan Buku & Koleksi,,26 Oktober 2022,0,Ekonomi
3449,Perangkat Pembelajaran : Rencana Pelaksanaan Pembelajaran (RPP),7424315124,371.3,,371.3 Way,Indonesia,I Wayan As,,,,,Indonesia,DKI Jakarta,Jakarta Barat,Az-Zahra,2011,Methods of Instruction and Study,Surat Permohonan Buku & Koleksi,,26 Oktober 2022,0,Buku Ajar / Buku Ilmiah
3450,Perangkat Pembelajaran Rencana Pelaksanaan Pembelajaran (RPP) Pendidikan Jasmani Olahraga & Kesehatan (PJOK) kelas I s.d. V Semester 1-2,757136124,371.3,-,371.3 Way P,Indonesia,"I Wayan AS, S.Si.",,,,,Indonesia,,,Az-Zahra,2011,Method of Instruction and Study,Surat Permohonan Buku dan Koleksi,,26 Oktober 2022,0,Karya Ilmiah
3451,Perangkat Pembelajaran Rencana Pelaksanaan Pembelajaran (RPP) Seni Budaya Keterampilan (SBK) kelas III s.d. VI Semester 1-2,757036124,371.3,,371.3 Way P,Indonesia,"I. Wayan As, S.Si",,,,,Indonesia,,,Az-Zahra,2011,Method of Instruction and Study,Surat Permohonan Buku dan Koleksi,,26 Oktober 2022,0,Karya Ilmiah
3452,Perang Tanpa Alasan,5171333124,303.6,978-979-461-925-4,303.6 Dar P,Indonesia,Linda Darmajanti,,Daisy Indira Yasmine & Ida Ruwaida,,,Indonesia,DKI Jakarta,Jakarta,Yayasan Obor Indonesia,2017,Conflict Social,Surat Permohonan Buku & Koleksi,,26 Oktober 2022,0,Buku Baca
3453,Peran Kelompok Ornop Dalam Pengelolaan Konflik SDA di daerah Kalimantan Barat & Bangka Belitung,8754333124,333.7,979-3584-20-3,333.7 WAR P,Indonesia,Henny Warsilah,,,,,Indonesia,DKI Jakarta,Jakarta,Puslit. Kemasyarakatan dan Kebudayaan-LIPI,2004,"Natural Resources and Energy, Environment",Surat permohonan buku & koleksi,,26 Oktober 2022,0,Buku Baca
3454,Peran Media Massa Dalam Kebijakan Penanggulangan Kejahatan Korupsi dan Disparitas Putusan Hakim,5063333124,302.23,978-602-52160-9-1,302.23 Ami P,Indonesia,"Kombespol. Dr. Kif Aminanto, S.I.K., S.H., M.H.",,,,,Indonesia,Jawa Timur,Jember,Jember Katamedia,2022,Media of Communication,Surat Permohonan Buku & Koleksi,,26 Oktober 2022,0,Buku Baca
3455,Peraturan Daerah Berkeadilan Substantif: Konsep Pembentukan dan Pengimplementasian ddalam Sistem Hukum Indonesia,9213339124,349.598,978-623-6716-05-2,349.598 Bur P,Indonesia,"Yunus P.S. Bureni, S.H., M.Hum.",,,,,Indonesia,Jawa Timur,Malang,Setara Press,2021,Law of Indonesia,Surat Permohonan buku dan koleksi,,26 Oktober 2022,0,Hukum
3456,Peraturan Daerah Propinsi Jawa Timur Nomer 5 2004,8631339125,899.2215,,899.2215 PEM P,Indonesia,Pemerintah Provinsi Jawa Timur,,,,,Indonesia,Jawa Timur,Surabaya,Pemerintah Provinsi Jawa Timur,,Indonesian Speech,Surat Permohonan Buku & Koleksi,,26 Oktober 2022,0,Hukum
3457,Peraturan Menteri Keuangan RI Nomor 119/PMK.05/2007 tentang Persyaratan Administratif Penetapan PK BLU,8478339124,366,,366 Dir P,Indonesia,Direktorat Pembinaan PK BLU,,,,,Indonesia,DKI Jakarta,Jakarta,Direktorat Jenderal Perbendaharaan,2007,Public Finance,Surat Permohonan Buku & Koleksi,,26 Oktober 2022,0,Hukum
3458,PERBAIKAN VARIETAS UNGGUL MELALUI TEKNOLOGI PEMULIAAN TANAMAN KONVENSIONAL,7413324124,631,978-979-028-400-5,631 San P,Indonesia,Juli Santoso,,,,,Indonesia,Jawa Timur,Surabaya,Unesa University Press,2011,Specific Techniques of Agriculture,Surat Permohonan Buku & Koleksi,,22-Sep-22,0,Panduan (How To)
3459,Percakapan Bahasa Inggris Sehari-hari Edisi Baru,1876312122,428,978-979-9208-19-X,428 Hab P,Indonesia,S.F Habeyb,,,,,Indonesia,DKI Jakarta,Jakarta,Bhuana Ilmu Populer (Kelompok Gramedia),1999,Standard English Usage,Permohonan Buku dan Koleksi,,24 Oktober 2022,0,Buku Belajar
3460,Percakapan dengan Diponegoro,4907329124,959.802,978-602-481-901-9,959.802 Car P,Indonesia,Peter Carey,Feureau Himawan Sutanto,Galang Aji Putro,,,Indonesia,DKI Jakarta,Jakarta,Kepustakaan Populer Gramedia,2022,History Of Indonesia at Dutch Period,Surat Permohonan Buku & Koleksi,,26 Oktober 2022,0,Sejarah
3461,Percakapan di Pintu Pengasingan,6474333124,811,978-623-293-688-1,811 Mat P,Indonesia,Ahmad Mathar,Musyfiqur Rahman,,,,Indonesia,DI Yogyakarta,Yogyakarta,DIVA Press,2022,puisi,Surat Permohonan Buku & Koleksi,,26 Oktober 2022,0,Kumpulan Sastra
3462,Percakapan Inggris - Indonesia Bidang Keperawatan & Rumah Sakit,1872312122,428,978-6233-04-0633-1,428 Bra P,Indonesia,N.S. Bramadi,,Marina Ariyani,,,Indonesia,DKI Jakarta,Jakarta,Bhuana Ilmu Populer (Kelompok Gramedia),2022,Standard English Usage,Surat Permohonan Buku dan Koleksi,,22 Agustus 2022,0,Buku Belajar
3463,Percaya Diri: Sumber Sukses & Kemandirian,7465333124,155.2,979-605-594-5,155.2 Ang C,Indonesia,"Barbara De Angelis, Ph.D",Baty Subakti,,,,Indonesia,DKI Jakarta,Jakarta,PT Gramedia Pustaka Utama,1997,Individual Psychology,Surat Permohonan Buku dan Koleksi,,26 Oktober 2022,0,Buku Baca
3464,Percikan Inspirasi Mengasah Nurani,7841326124,153.1534,978-602-8847-76-6,153.1534/jat/p,Indonesia,Lukas Teguh Jatmiko,,,,,Indonesia,Jawa Barat,Bekasi,mediakita,2016,Motivation,Surat Permohonan Buku dan Koleksi,,26 Oktober 2022,0,Motivasi
3465,Perekonomian Indonesia,1078332122,330.9,978-623-231-702-4,330.9 Pur P,Indonesia,Gusti Ayu Purnamawati,,Monalisa,,1,Indonesia,Jawa Barat,Depok,Rajawali Pers,2021,Economic Situation and Conditions,Permohonan Buku & Koleksi,,22 Agustus 2022,0,Ekonomi
3466,Perempuan Adat Penjaga Tradisi: Kajian tentang Peran Perempuan Kayaan Mendalam di Kapuas Hulu dalam Pemeliharaan Kebudayaan,8079333124,305.4,978-623-7526-51-3,305.4 Wul P,Indonesia,Benedikta Juliatri Widi Wulandari,,Asep Ruhimat & Izzudin Irsam Mujib,,,Indonesia,Jawa Barat,Bandung,CV Media Jaya Abadi,2022,Women,Surat Permohonan Buku dan Koleksi,,12-Nov-22,0,Buku Baca
3467,Perempuan Bicara dari Dakwah Hingga Sosial-Politik,9266333124,2X7.2,978-623-7473-12-1,2X7.1 Lub P,Indonesia,Prof. Dr. Hj. Amany Lubis MA,,,,,Indonesia,Banten,Tangerang,Pustaka Compass,2022,Dakwah islam,Surat Permohonan Buku dan Koleksi,,26 Oktober 2022,0,Buku Baca
3468,Perempuan dan Islam di Indoensia,9238333124,305.4,978-623-7473-11-4,305.4 Lub P,Indonesia,Prof. Dr. Hj. Amany Lubis MA,,Aprillia Koeshendraty,,,Indonesia,Banten,Tangerang,Pustaka Compass,2022,Women,Surat Permohonan Buku dan Koleksi,,26 Oktober 2022,0,Buku Baca
3469,Perempuan dan Kedaulatan Pangan ,7515333124,305.42,216.4876,305.42 Ast P,Indonesia,Tim Bina Desa,,,,,Indonesia,DKI Jakarta,Jakarta Timur,Bina Desa Press,2020,Social Role of Women,Surat Permohonan Buku & Koleksi,,26 Oktober 2022,0,Majalah
3470,Perempuan dan Perhutanan Sosial,7903312124,305.4,1410 153x,305.4 Per P,Indonesia,Dr Gadis Arivia,,,,,Indonesia,DKI Jakarta,Jakarta,The Asia Foundation,2019,"Women,Female",Permohonan buku dan koleksi,,22 Oktober 2022,0,Buku Belajar
3471,Perempuan dan Politik Tubuh Fantastis,6857333124,305.42,979-672-232-1,305.42 Pri P,Indonesia,Primarianti,,"Arimbi, dkk",,,Indonesia,DI Yogyakarta,Yogyakarta,PT Kanisius,1998,Social Rule of Women,Surat Permohonan Buku & Koleksi,,26 Oktober 2022,0,Buku Baca
3472,Perempuan Pengantin Puisi dalam Opera Tujuh Purnama,5504337124,811,978-623-6265-03-1,811 Sat P,Indonesia,Riri Satria,-,Riri Satria,,,Indonesia,DKI Jakarta,Jakarta Barat,TareBooks (Taretan Sedaya International),2021,Indonesia Poerty,Surat Permohonan Buku dan Koleksi,,26 Oktober 2022,0,Kumpulan Sastra
3473,"Perempuan Tahan Banting: Pancarkan Kekuatanmu, Pedemu, dan Hidupmu",4983333124,155.25,978-623-030-635-8,155.25 Ree P,Indonesia,Tiffany Reese,Averil Khalisha,Yoke Yuliana,,,Indonesia,DKI Jakarta,Jakarta,PT Gramedia Pustaka Utama,2022,Character Development,Surat Permohonan Buku & Koleksi,,26 Oktober 2022,0,Buku Baca
3474,Perencanaan dan Evaluasi,2850312122,658.401,978-979-1330-07-7,658.401 Sup P,Indonesia,Stefanus Supriyanto ,,,,,Indonesia,Jawa Timur,Surabaya,Airlangga University Press,2007,Planning & Strategic Management,Surat Permohonan Buku dan Koleksi,,22 Agustus 2022,0,Buku Belajar
3475,Perencanaan dan Pengendalian Produksi,3016333122,658.5,978-602-9372-91-5,658.5 Saf P,Indonesia,"Sunardi, M.T.",,,,,Indonesia,Jawa Timur,Surabaya,"UPN ""Veteran"" Jawa Timur",2015,Management of Production,Permohonan Buku & Koleksi,,22 Agustus 2022,0,Buku Baca
3476,Perencanaan Keuangan Syariah,5752332124,332,978-623-99789-0-7,332 Tam P,Indonesia,"DR.LUQYAN TAMANNI, M.EC, CFP",,"Dr. Luqyan Tamanni, M. Ec, CFP",,,Indonesia,DKI Jakarta,Jakarta,TAZKIA PRESS,2022,Financial Economics ,Surat Permohonan Buku & Koleksi ,,26 Oktober 2022,0,Ekonomi
3477,Perencanaan Pembangunan Daerah Era Otonomi Daerah Konsep & Aplikasi,3002312122,658.401,978-602-6606-20-4,658.401 Wah P,Indonesia,Tri Wahyuni,,,,,Indonesia,Jawa Timur,Surabaya,Airlangga University Press,2017,Planning and Strategic Management,Surat Permohonan Buku dan Koleksi,,22 Agustus 2022,0,Buku Belajar
3478,Perencanaan Pendidikan,4717333123,370,978-979-076-147-6,370 Sar P,Indonesia,"Sarbini, M.Ag",,"Drs. Beni Ahmad Saebani, M.Si.",,,Indonesia,Jawa Barat,Bandung,PUSTAKA SETIA,2011,Education,Surat Permohonan Buku & Koleksi,,26 Oktober 2022,0,Buku Baca
3479,Perencanaan Pengendalian Produksi & Logistik,6915342124,658.7,978-602-318-419-4,658.7 Kho P,Indonesia,"Ir. Muhammad Kholil, MT., IPU",,,,,Indonesia,DKI Jakarta,Jakarta,  Mitra Wacana Media,2019,Management Of Supplies,Permohonan buku & koleksi,,26 Oktober 2022,0,Pendidikan
3480,Perencanaan Sosial di Dunia Ketiga Suatu Pengantar,7064333124,361.3,979-420-194-4,361.3 Con P,Indonesia,Diana Conyers,"Drs. Susetiawan, S.U.","Dr. Affan Gafar, M.A.",,,Indonesia,DI Yogyakarta,Yogyakarta,Gadjah Mada University Press,1994,Social Work,Surat Permohonan Buku & Koleksi,,26 Oktober 2022,0,Buku Baca
3481,Perencanaan Teknik Mesin ,64504912124,621,-,621 Shi P,Indonesia,Joseph Edward Shigley,Ir. Gandhi Harahap M. Eng.,,4,,Indonesia,DKI Jakarta,Jakarta,ERLANGGA,2018,Applied Physics,Surat Permohonan Buku dan Koleksi,Surat Permohonan Buku dan Koleksi ,21-Sep-22,0,Buku Belajar
3482,Perencanaan Teknik Mesin Edisi Ke-Empat Jilid 2,5122312124,620,36-21-016-3,620 Shi P,Indonesia,Joseph E. Shigley,Ir. Gandhi Harahap M. Eng.,,,4,Indonesia,DKI Jakarta,Jakarta,ERLANGGA,2018,Engineering,Surat Permohonan Buku & Koleksi,,21-Sep-22,0,Buku Belajar
3483,Pergolakan Politik Umat Islam dalam Kemungkinan Hadis Maudhu,5017328124,297.272,,297.272 Naj P,Indonesia,Dr. Mohamad Najib,,Drs. Maman Abd. Djaliel,,,Indonesia,Jawa Barat,Bandung,PUSTAKA SETIA,2001,Islam & Politics,Surat Permohonan Buku & Koleksi,,26 Oktober 2022,0,Politik
3484,Pergulatan Demokrasi Liberal 1950-1959: Zaman Emas atau Hitam?,4104329122,959.8035,978-602-481-298-0,959.8035 Suy P,Indonesia,Seno Joko Suyono,,"Leila S. Chudori, dkk. ",,,Indonesia,DKI Jakarta,Jakarta,Kepustakaan Populer Gramedia,2019,Period of Soekarno,Permohonan Buku dan Koleksi,,22 Agustus 2022,0,Sejarah
3485,Pergulatan Pemikiran dan Aneka Gagasan Seputar Hukum Tanah Nasional (Suatu Pendekatan Multidisipliner),5379333122,346.04,978-979-8972-47-8,346.04 Hut P,Indonesia,"Prof. Arie Sukanti Hutagalung, S.H., M.L.I",,Suparjo Sujadi,,1,Indonesia,Jawa Barat,Depok,Badan Penerbit FHUI,2011,Property,Surat Permohonan Buku & Koleksi,,26 Oktober 2022,0,Buku Baca
